,Transformation,AAM,Class
606,CEC-Ni-photoredox,[C:16]([Br:19])([C:20]([O:17][C:18]([H:30])([H:31])[H:32])([H:33])[H:34])([H:28])[H:29].[c:1]1([H:21])[c:2]([Br:3])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10]>>[Br:3][Br:19].[c:1]1([H:21])[c:2]([C:16]([C:20]([O:17][C:18]([H:30])([H:31])[H:32])([H:33])[H:34])([H:28])[H:29])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10],0
607,CEC-Ni-Weix,[C:16]([Br:19])([C:20]([O:17][C:18]([H:30])([H:31])[H:32])([H:33])[H:34])([H:28])[H:29].[c:1]1([H:21])[c:2]([Br:3])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10]>>[Br:3][Br:19].[c:1]1([H:21])[c:2]([C:16]([C:20]([O:17][C:18]([H:30])([H:31])[H:32])([H:33])[H:34])([H:28])[H:29])[c:4]([H:22])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:25])[C:15]([H:26])([H:27])[O:14][C:11]([H:23])([H:24])[C:7]3=[O:10],0
608,BF3K-Ni-photoredox,[C:1]([B-:3]([F:5])([F:6])[F:8])([N:11]1[C:9]([H:31])([H:32])[C:2]([H:27])([H:28])[O:4][C:7]([H:29])([H:30])[C:10]1([H:33])[H:34])([H:25])[H:26].[n:12]1[c:16]([H:36])[c:18]([H:38])[c:22]([H:41])[n:23]1-[c:21]1[c:13]([H:35])[c:14]([Br:15])[c:17]([H:37])[c:19]([H:39])[c:20]1[H:40]>>[B-:3]([F:5])([F:6])([F:8])[Br:15].[C:1]([N:11]1[C:9]([H:31])([H:32])[C:2]([H:27])([H:28])[O:4][C:7]([H:29])([H:30])[C:10]1([H:33])[H:34])([c:14]1[c:13]([H:35])[c:21](-[n:23]2[n:12][c:16]([H:36])[c:18]([H:38])[c:22]2[H:41])[c:20]([H:40])[c:19]([H:39])[c:17]1[H:37])([H:25])[H:26],0
609,BF3K-Ni-photoredox,[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:28])([H:29])[H:30])([C:7]([H:31])([H:32])[H:33])[C:13]([H:36])([H:37])[H:38])([C:8]([B-:9]([F:10])([F:11])[F:12])([H:34])[H:35])[H:27].[n:14]1[c:18]([H:40])[c:20]([H:42])[c:24]([H:45])[n:25]1-[c:23]1[c:15]([H:39])[c:16]([Br:17])[c:19]([H:41])[c:21]([H:43])[c:22]1[H:44]>>[B-:9]([F:10])([F:11])([F:12])[Br:17].[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:28])([H:29])[H:30])([C:7]([H:31])([H:32])[H:33])[C:13]([H:36])([H:37])[H:38])([C:8]([c:16]1[c:15]([H:39])[c:23](-[n:25]2[n:14][c:18]([H:40])[c:20]([H:42])[c:24]2[H:45])[c:22]([H:44])[c:21]([H:43])[c:19]1[H:41])([H:34])[H:35])[H:27],0
610,COOH-Ni-photoredox,[C:1]([C:5]([H:26])([H:27])[H:28])([C:9]([H:32])([H:33])[H:34])([C:11]([H:35])([H:36])[H:37])[O:12][C:8]([N:7]([C:6]([C:3]([O:2][H:25])=[O:4])([H:29])[H:30])[H:31])=[O:10].[n:13]1[c:17]([H:39])[c:19]([H:41])[c:23]([H:44])[n:24]1-[c:22]1[c:14]([H:38])[c:15]([Br:16])[c:18]([H:40])[c:20]([H:42])[c:21]1[H:43]>>[C:1]([C:5]([H:26])([H:27])[H:28])([C:9]([H:32])([H:33])[H:34])([C:11]([H:35])([H:36])[H:37])[O:12][C:8]([N:7]([C:6]([c:15]1[c:14]([H:38])[c:22](-[n:24]2[n:13][c:17]([H:39])[c:19]([H:41])[c:23]2[H:44])[c:21]([H:43])[c:20]([H:42])[c:18]1[H:40])([H:29])[H:30])[H:31])=[O:10].[O:2]([C:3](=[O:4])[Br:16])[H:25],0
611,BF3K-Pd-Suzuki,[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:28])([H:29])[H:30])([C:7]([H:31])([H:32])[H:33])[C:13]([H:36])([H:37])[H:38])([C:8]([B-:9]([F:10])([F:11])[F:12])([H:34])[H:35])[H:27].[n:14]1[c:18]([H:40])[c:20]([H:42])[c:24]([H:45])[n:25]1-[c:23]1[c:15]([H:39])[c:16]([Br:17])[c:19]([H:41])[c:21]([H:43])[c:22]1[H:44]>>[B-:9]([F:10])([F:11])([F:12])[Br:17].[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:28])([H:29])[H:30])([C:7]([H:31])([H:32])[H:33])[C:13]([H:36])([H:37])[H:38])([C:8]([c:16]1[c:15]([H:39])[c:23](-[n:25]2[n:14][c:18]([H:40])[c:20]([H:42])[c:24]2[H:45])[c:22]([H:44])[c:21]([H:43])[c:19]1[H:41])([H:34])[H:35])[H:27],0
612,BF3K-Ni-photoredox,[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([Br:4])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41].[N:16]([C:17](=[O:18])[O:19][C:20]([C:21]([H:48])([H:49])[H:50])([C:22]([H:51])([H:52])[H:53])[C:28]([H:56])([H:57])[H:58])([C:23]([B-:24]([F:25])([F:26])[F:27])([H:54])[H:55])[H:47]>>[Br:4][B-:24]([F:25])([F:26])[F:27].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([C:23]([N:16]([C:17](=[O:18])[O:19][C:20]([C:21]([H:48])([H:49])[H:50])([C:22]([H:51])([H:52])[H:53])[C:28]([H:56])([H:57])[H:58])[H:47])([H:54])[H:55])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41],0
613,COOH-Ni-photoredox,[C:16]([C:20]([H:46])([H:47])[H:48])([C:24]([H:52])([H:53])[H:54])([C:26]([H:55])([H:56])[H:57])[O:27][C:23]([N:22]([C:21]([C:18]([O:17][H:45])=[O:19])([H:49])[H:50])[H:51])=[O:25].[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([Br:4])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39]>>[Br:4][C:18]([O:17][H:45])=[O:19].[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([C:21]([N:22]([C:23](=[O:25])[O:27][C:16]([C:20]([H:46])([H:47])[H:48])([C:24]([H:52])([H:53])[H:54])[C:26]([H:55])([H:56])[H:57])[H:51])([H:49])[H:50])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39],0
614,BF3K-Pd-Suzuki,[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([Br:4])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41].[N:16]([C:17](=[O:18])[O:19][C:20]([C:21]([H:48])([H:49])[H:50])([C:22]([H:51])([H:52])[H:53])[C:28]([H:56])([H:57])[H:58])([C:23]([B-:24]([F:25])([F:26])[F:27])([H:54])[H:55])[H:47]>>[Br:4][B-:24]([F:25])([F:26])[F:27].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([C:23]([N:16]([C:17](=[O:18])[O:19][C:20]([C:21]([H:48])([H:49])[H:50])([C:22]([H:51])([H:52])[H:53])[C:28]([H:56])([H:57])[H:58])[H:47])([H:54])[H:55])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41],0
615,BF3K-Ni-photoredox,[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([Br:9])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52].[N:23]([C:24](=[O:25])[O:26][C:27]([C:28]([H:61])([H:62])[H:63])([C:29]([H:64])([H:65])[H:66])[C:35]([H:69])([H:70])[H:71])([C:30]([B-:31]([F:32])([F:33])[F:34])([H:67])[H:68])[H:60]>>[Br:9][B-:31]([F:32])([F:33])[F:34].[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([C:30]([N:23]([C:24](=[O:25])[O:26][C:27]([C:28]([H:61])([H:62])[H:63])([C:29]([H:64])([H:65])[H:66])[C:35]([H:69])([H:70])[H:71])[H:60])([H:67])[H:68])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52],0
616,COOH-Ni-photoredox,[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([Br:9])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50].[C:23]([C:27]([H:59])([H:60])[H:61])([C:31]([H:65])([H:66])[H:67])([C:33]([H:68])([H:69])[H:70])[O:34][C:30]([N:29]([C:28]([C:25]([O:24][H:58])=[O:26])([H:62])[H:63])[H:64])=[O:32]>>[Br:9][C:25]([O:24][H:58])=[O:26].[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([C:28]([N:29]([C:30](=[O:32])[O:34][C:23]([C:27]([H:59])([H:60])[H:61])([C:31]([H:65])([H:66])[H:67])[C:33]([H:68])([H:69])[H:70])[H:64])([H:62])[H:63])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50],0
617,BF3K-Pd-Suzuki,[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([Br:9])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52].[N:23]([C:24](=[O:25])[O:26][C:27]([C:28]([H:61])([H:62])[H:63])([C:29]([H:64])([H:65])[H:66])[C:35]([H:69])([H:70])[H:71])([C:30]([B-:31]([F:32])([F:33])[F:34])([H:67])[H:68])[H:60]>>[Br:9][B-:31]([F:32])([F:33])[F:34].[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([C:30]([N:23]([C:24](=[O:25])[O:26][C:27]([C:28]([H:61])([H:62])[H:63])([C:29]([H:64])([H:65])[H:66])[C:35]([H:69])([H:70])[H:71])[H:60])([H:67])[H:68])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52],0
618,BF3K-Ni-photoredox,[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:31])([H:32])[H:33])([C:7]([H:34])([H:35])[H:36])[C:13]([H:39])([H:40])[H:41])([C:8]([B-:9]([F:10])([F:11])[F:12])([H:37])[H:38])[H:30].[c:14]1([H:42])[c:15]([Br:16])[c:17]([H:43])[n:18]2[c:19]3[c:21]([n:22][c:25]2[c:26]1[H:46])[C:28]([H:47])([H:48])[O:27][C:24]([H:44])([H:45])[C:20]3=[O:23]>>[B-:9]([F:10])([F:11])([F:12])[Br:16].[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:31])([H:32])[H:33])([C:7]([H:34])([H:35])[H:36])[C:13]([H:39])([H:40])[H:41])([C:8]([c:15]1[c:14]([H:42])[c:26]([H:46])[c:25]2[n:18]([c:17]1[H:43])[c:19]1[c:21]([n:22]2)[C:28]([H:47])([H:48])[O:27][C:24]([H:44])([H:45])[C:20]1=[O:23])([H:37])[H:38])[H:30],0
619,COOH-Ni-photoredox,[C:1]([C:5]([H:29])([H:30])[H:31])([C:9]([H:35])([H:36])[H:37])([C:11]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]([C:6]([C:3]([O:2][H:28])=[O:4])([H:32])[H:33])[H:34])=[O:10].[c:13]1([H:41])[c:14]([Br:15])[c:16]([H:42])[n:17]2[c:18]3[c:20]([n:21][c:24]2[c:25]1[H:45])[C:27]([H:46])([H:47])[O:26][C:23]([H:43])([H:44])[C:19]3=[O:22]>>[C:1]([C:5]([H:29])([H:30])[H:31])([C:9]([H:35])([H:36])[H:37])([C:11]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]([C:6]([c:14]1[c:13]([H:41])[c:25]([H:45])[c:24]2[n:17]([c:16]1[H:42])[c:18]1[c:20]([n:21]2)[C:27]([H:46])([H:47])[O:26][C:23]([H:43])([H:44])[C:19]1=[O:22])([H:32])[H:33])[H:34])=[O:10].[O:2]([C:3](=[O:4])[Br:15])[H:28],0
620,BF3K-Pd-Suzuki,[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:31])([H:32])[H:33])([C:7]([H:34])([H:35])[H:36])[C:13]([H:39])([H:40])[H:41])([C:8]([B-:9]([F:10])([F:11])[F:12])([H:37])[H:38])[H:30].[c:14]1([H:42])[c:15]([Br:16])[c:17]([H:43])[n:18]2[c:19]3[c:21]([n:22][c:25]2[c:26]1[H:46])[C:28]([H:47])([H:48])[O:27][C:24]([H:44])([H:45])[C:20]3=[O:23]>>[B-:9]([F:10])([F:11])([F:12])[Br:16].[N:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:31])([H:32])[H:33])([C:7]([H:34])([H:35])[H:36])[C:13]([H:39])([H:40])[H:41])([C:8]([c:15]1[c:14]([H:42])[c:26]([H:46])[c:25]2[n:18]([c:17]1[H:43])[c:19]1[c:21]([n:22]2)[C:28]([H:47])([H:48])[O:27][C:24]([H:44])([H:45])[C:20]1=[O:23])([H:37])[H:38])[H:30],0
621,BF3K-Ni-photoredox,[B-:13]([C:14]([O:18][C:19]([H:30])([H:31])[H:32])([H:28])[H:29])([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([Br:4])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26]>>[Br:4][B-:13]([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([C:14]([O:18][C:19]([H:30])([H:31])[H:32])([H:28])[H:29])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26],0
622,CEC-Ni-photoredox,[O:13]([C:14]([H:24])([H:25])[H:26])[C:15]([Br:16])([H:27])[H:28].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([Br:4])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22]>>[Br:4][Br:16].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([C:15]([O:13][C:14]([H:24])([H:25])[H:26])([H:27])[H:28])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22],0
623,COOH-Ni-photoredox,[O:13]([C:14](=[O:15])[C:18]([O:16][C:17]([H:27])([H:28])[H:29])([H:30])[H:31])[H:26].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][C:14]([O:13][H:26])=[O:15].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:18]([O:16][C:17]([H:27])([H:28])[H:29])([H:30])[H:31])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
624,BF3K-Pd-Suzuki,[B-:13]([C:14]([O:18][C:19]([H:30])([H:31])[H:32])([H:28])[H:29])([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([Br:4])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26]>>[Br:4][B-:13]([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([C:14]([O:18][C:19]([H:30])([H:31])[H:32])([H:28])[H:29])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26],0
625,CEC-Ni-Weix,[O:13]([C:14]([H:24])([H:25])[H:26])[C:15]([Br:16])([H:27])[H:28].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([Br:4])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22]>>[Br:4][Br:16].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([C:15]([O:13][C:14]([H:24])([H:25])[H:26])([H:27])[H:28])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22],0
626,CEC-Ni-photoredox,[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([Br:4])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31].[O:16]([C:17]([H:37])([H:38])[H:39])[C:18]([Br:19])([H:40])[H:41]>>[Br:4][Br:19].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([C:18]([O:16][C:17]([H:37])([H:38])[H:39])([H:40])[H:41])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31],0
627,BF3K-Ni-photoredox,[B-:16]([C:17]([O:21][C:22]([H:43])([H:44])[H:45])([H:41])[H:42])([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][B-:16]([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:17]([O:21][C:22]([H:43])([H:44])[H:45])([H:41])[H:42])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
628,COOH-Ni-photoredox,[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([Br:4])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33].[O:16]([C:17](=[O:18])[C:21]([O:19][C:20]([H:40])([H:41])[H:42])([H:43])[H:44])[H:39]>>[Br:4][C:17]([O:16][H:39])=[O:18].[C:1]1([H:22])([H:23])[C:7]([H:27])([H:28])[N:10]([C:14]([H:36])([H:37])[H:38])[C:11]([H:30])([H:31])[C:13]([H:34])([H:35])[N:15]1[C:12]([c:8]1[c:6]([H:26])[c:5]([H:25])[c:3]([C:21]([O:19][C:20]([H:40])([H:41])[H:42])([H:43])[H:44])[c:2]([H:24])[c:9]1[H:29])([H:32])[H:33],0
629,BF3K-Pd-Suzuki,[B-:16]([C:17]([O:21][C:22]([H:43])([H:44])[H:45])([H:41])[H:42])([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][B-:16]([F:18])([F:19])[F:20].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:17]([O:21][C:22]([H:43])([H:44])[H:45])([H:41])[H:42])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
630,CEC-Ni-Weix,[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([Br:4])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31].[O:16]([C:17]([H:37])([H:38])[H:39])[C:18]([Br:19])([H:40])[H:41]>>[Br:4][Br:19].[C:1]1([H:20])([H:21])[C:7]([H:25])([H:26])[N:10]([C:14]([H:34])([H:35])[H:36])[C:11]([H:28])([H:29])[C:13]([H:32])([H:33])[N:15]1[C:12]([c:8]1[c:6]([H:24])[c:5]([H:23])[c:3]([C:18]([O:16][C:17]([H:37])([H:38])[H:39])([H:40])[H:41])[c:2]([H:22])[c:9]1[H:27])([H:30])[H:31],0
631,BF3K-Ni-photoredox,[B-:23]([C:24]([O:28][C:29]([H:56])([H:57])[H:58])([H:54])[H:55])([F:25])([F:26])[F:27].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46]>>[Br:9][B-:23]([F:25])([F:26])[F:27].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:24]([O:28][C:29]([H:56])([H:57])[H:58])([H:54])[H:55])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
632,CEC-Ni-photoredox,[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([Br:9])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42].[O:23]([C:24]([H:50])([H:51])[H:52])[C:25]([Br:26])([H:53])[H:54]>>[Br:9][Br:26].[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([C:25]([O:23][C:24]([H:50])([H:51])[H:52])([H:53])[H:54])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42],0
633,COOH-Ni-photoredox,[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([Br:9])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44].[O:23]([C:24](=[O:25])[C:28]([O:26][C:27]([H:53])([H:54])[H:55])([H:56])[H:57])[H:52]>>[Br:9][C:24]([O:23][H:52])=[O:25].[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([C:28]([O:26][C:27]([H:53])([H:54])[H:55])([H:56])[H:57])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44],0
