,Substrate,AAM,E-1,E-2
32,C1=CC=C(C=CC(C)=O)C=C1,[At:12][H:24].[H+:23].[c:1]1([H:25])[c:3]([C:2](=[C:5]([C:7](=[O:8])[C:10]([H:31])([H:32])[H:33])[H:28])[H:26])[c:4]([H:27])[c:6]([H:29])[c:9]([H:30])[c:11]1[H:34]>>[At+:12].[c:1]1([H:25])[c:3]([C:2](=[C:5]([C:7]([O:8][H:23])([C:10]([H:31])([H:32])[H:33])[H:24])[H:28])[H:26])[c:4]([H:27])[c:6]([H:29])[c:9]([H:30])[c:11]1[H:34],0,0
33,C1(=CC2=C(C=C1)C(CCC2)=O)OC,[At:14][H:28].[C:1]1(=[O:5])[C:6]([H:30])([H:31])[C:8]([H:35])([H:36])[C:11]([H:39])([H:40])[c:12]2[c:2]([H:29])[c:3]([O:4][C:7]([H:32])([H:33])[H:34])[c:9]([H:37])[c:10]([H:38])[c:13]21.[H+:27]>>[At+:14].[C:1]1([O:5][H:27])([H:28])[C:6]([H:30])([H:31])[C:8]([H:35])([H:36])[C:11]([H:39])([H:40])[c:12]2[c:2]([H:29])[c:3]([O:4][C:7]([H:32])([H:33])[H:34])[c:9]([H:37])[c:10]([H:38])[c:13]21,0,0
34,C1C(CCCC1)C(C)=O,[At:10][H:26].[C:1]1([C:2](=[O:3])[C:5]([H:30])([H:31])[H:32])([H:27])[C:8]([H:37])([H:38])[C:7]([H:35])([H:36])[C:6]([H:33])([H:34])[C:4]([H:28])([H:29])[C:9]1([H:39])[H:40].[H+:25]>>[At+:10].[C:1]1([C:2]([O:3][H:25])([C:5]([H:30])([H:31])[H:32])[H:26])([H:27])[C:8]([H:37])([H:38])[C:7]([H:35])([H:36])[C:6]([H:33])([H:34])[C:4]([H:28])([H:29])[C:9]1([H:39])[H:40],0,1
35,C(CCCCCCC(C)=O)C,[At:12][H:34].[C:1]([C:4]([C:7]([C:8]([C:9]([C:11]([H:52])([H:53])[H:54])([H:48])[H:49])([H:46])[H:47])([H:44])[H:45])([H:39])[H:40])([C:10]([C:2]([C:3](=[O:5])[C:6]([H:41])([H:42])[H:43])([H:37])[H:38])([H:50])[H:51])([H:35])[H:36].[H+:33]>>[At+:12].[C:1]([C:4]([C:7]([C:8]([C:9]([C:11]([H:52])([H:53])[H:54])([H:48])[H:49])([H:46])[H:47])([H:44])[H:45])([H:39])[H:40])([C:10]([C:2]([C:3]([O:5][H:33])([C:6]([H:41])([H:42])[H:43])[H:34])([H:37])[H:38])([H:50])[H:51])([H:35])[H:36],0,0
36,C12C(CN(CC1)CC2)=O,[At:10][H:23].[C:1]12([H:24])[C:2](=[O:3])[C:5]([H:27])([H:28])[N:7]([C:6]([H:29])([H:30])[C:8]1([H:31])[H:32])[C:9]([H:33])([H:34])[C:4]2([H:25])[H:26].[H+:22]>>[At+:10].[C:1]12([H:24])[C:2]([O:3][H:22])([H:23])[C:5]([H:27])([H:28])[N:7]([C:6]([H:29])([H:30])[C:8]1([H:31])[H:32])[C:9]([H:33])([H:34])[C:4]2([H:25])[H:26],0,0
37,C4[C@]1(C(=CC[C@@H]2[C@@H]1CC[C@]3([C@H]2CC[C@@H]3[C@@H](CCCC(C)C)C)C)CC(C4)=O)C,[At:29][H:75].[C:1]1([H:76])=[C:2]2[C@@:3]([C:28]([H:117])([H:118])[H:119])([C:4]3([H:77])[C:6]([H:81])([C:7]4([H:82])[C@@:9]([C:17]([H:98])([H:99])[H:100])([C:10]([C:12]([C:8]([H:83])([H:84])[H:85])([C:15]([C:18]([C:22]([C:26]([C:5]([H:78])([H:79])[H:80])([C:27]([H:114])([H:115])[H:116])[H:113])([H:109])[H:110])([H:101])[H:102])([H:94])[H:95])[H:89])([H:86])[C:11]([H:87])([H:88])[C:13]4([H:90])[H:91])[C:14]([H:92])([H:93])[C:16]3([H:96])[H:97])[C:19]1([H:103])[H:104])[C:20]([H:105])([H:106])[C:21]([H:107])([H:108])[C:23](=[O:24])[C:25]2([H:111])[H:112].[H+:74]>>[At+:29].[C:1]1([H:76])=[C:2]2[C@@:3]([C:28]([H:117])([H:118])[H:119])([C:4]3([H:77])[C:6]([H:81])([C:7]4([H:82])[C@@:9]([C:17]([H:98])([H:99])[H:100])([C:10]([C:12]([C:8]([H:83])([H:84])[H:85])([C:15]([C:18]([C:22]([C:26]([C:5]([H:78])([H:79])[H:80])([C:27]([H:114])([H:115])[H:116])[H:113])([H:109])[H:110])([H:101])[H:102])([H:94])[H:95])[H:89])([H:86])[C:11]([H:87])([H:88])[C:13]4([H:90])[H:91])[C:14]([H:92])([H:93])[C:16]3([H:96])[H:97])[C:19]1([H:103])[H:104])[C:20]([H:105])([H:106])[C:21]([H:107])([H:108])[C:23]([O:24][H:74])([H:75])[C:25]2([H:111])[H:112],0,0
38,C1=CC(=CC2=C1[C@@H]3[C@@H](CC2)[C@H]4[C@](CC3)(C(CC4)=O)C)O,[At:21][H:44].[C:1]1([H:46])([H:47])[C:7]([H:50])([H:51])[C:14]2([H:60])[C:12]3([H:57])[C:11]([H:56])([c:6]4[c:5]([c:4]([H:49])[c:3]([O:2][H:48])[c:9]([H:53])[c:8]4[H:52])[C:19]([H:66])([H:67])[C:17]3([H:64])[H:65])[C:13]([H:58])([H:59])[C:10]([H:54])([H:55])[C@:16]2([C:15]([H:61])([H:62])[H:63])[C:18]1=[O:20].[H+:45]>>[At+:21].[C:1]1([H:46])([H:47])[C:7]([H:50])([H:51])[C:14]2([H:60])[C:12]3([H:57])[C:11]([H:56])([c:6]4[c:5]([c:4]([H:49])[c:3]([O:2][H:48])[c:9]([H:53])[c:8]4[H:52])[C:19]([H:66])([H:67])[C:17]3([H:64])[H:65])[C:13]([H:58])([H:59])[C:10]([H:54])([H:55])[C@:16]2([C:15]([H:61])([H:62])[H:63])[C:18]1([O:20][H:45])[H:44],0,0
39,C1=C(C(=CC=C1C=CC(CC(C=CC2=CC=C(C(=C2)OC)O)=O)=O)O)OC,[At:28][H:49].[C:1](=[C:6]([c:8]1[c:9]([H:57])[c:11]([O:12][C:15]([H:60])([H:61])[H:62])[c:19]([O:23][H:68])[c:24]([H:69])[c:26]1[H:70])[H:53])([C:25]([C:22]([C:20]([C:18](=[C:17]([c:13]1[c:10]([H:58])[c:4]([O:5][C:7]([H:54])([H:55])[H:56])[c:3]([O:2][H:52])[c:16]([H:63])[c:14]1[H:59])[H:64])[H:65])=[O:21])([H:66])[H:67])=[O:27])[H:51].[H+:50]>>[At+:28].[C:1](=[C:6]([c:8]1[c:9]([H:57])[c:11]([O:12][C:15]([H:60])([H:61])[H:62])[c:19]([O:23][H:68])[c:24]([H:69])[c:26]1[H:70])[H:53])([C:25]([C:22]([C:20]([C:18](=[C:17]([c:13]1[c:10]([H:58])[c:4]([O:5][C:7]([H:54])([H:55])[H:56])[c:3]([O:2][H:52])[c:16]([H:63])[c:14]1[H:59])[H:64])[H:65])([O:21][H:50])[H:49])([H:66])[H:67])=[O:27])[H:51],0,0
40,C1=CC(=CC2=C1[N]C=C2CCNC(C)=O)OC,[At:18][H:36].[H+:35].[c:1]1([H:37])[c:2]2[c:3]([c:5]([H:38])[c:7]([H:41])[c:9]1[O:10][C:11]([H:44])([H:45])[H:46])[n:16]([H:51])[c:17]([H:52])[c:4]2[C:6]([C:8]([N:12]([C:13](=[O:14])[C:15]([H:48])([H:49])[H:50])[H:47])([H:42])[H:43])([H:39])[H:40]>>[At+:18].[c:1]1([H:37])[c:2]2[c:3]([c:5]([H:38])[c:7]([H:41])[c:9]1[O:10][C:11]([H:44])([H:45])[H:46])[n:16]([H:51])[c:17]([H:52])[c:4]2[C:6]([C:8]([N:12]([C:13]([O:14][H:35])([C:15]([H:48])([H:49])[H:50])[H:36])[H:47])([H:42])[H:43])([H:39])[H:40],0,0
41,C1=C(C=CC=N1)C(C=CC(C)C)=O,[At:14][H:28].[H+:27].[c:1]1([H:29])[n:2][c:4]([H:31])[c:6]([H:32])[c:7]([H:33])[c:9]1[C:10](=[O:11])[C:13](=[C:3]([N:5]([C:8]([H:34])([H:35])[H:36])[C:12]([H:37])([H:38])[H:39])[H:30])[H:40]>>[At+:14].[c:1]1([H:29])[n:2][c:4]([H:31])[c:6]([H:32])[c:7]([H:33])[c:9]1[C:10]([O:11][H:27])([C:13](=[C:3]([N:5]([C:8]([H:34])([H:35])[H:36])[C:12]([H:37])([H:38])[H:39])[H:30])[H:40])[H:28],0,0
